acn,reporter_function,reporter_ATC,reporter_GROUND,reporter_INSTRUCTION_EXAM,reporter_MAINT_SAFETY,reporter_OTH_CREW,reporter_OTH_UNKN,reporter_PILOT
1513062,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1513061,CAPTAIN,0,0,0,0,0,0,1
1513018,LOCAL,0,0,0,0,0,1,0
1512955,INSTRUCTOR; PILOT NOT FLYING,0,0,0,0,0,0,1
1512953,SINGLE PILOT,0,0,0,0,0,0,1
1512938,SINGLE PILOT,0,0,0,0,0,0,1
1512907,SINGLE PILOT; PILOT FLYING,0,0,0,0,0,0,1
1512906,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1512899,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1512873,FLIGHT ATTENDANT (ON DUTY),0,0,0,0,1,0,0
1512851,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1512801,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1512786,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1514210,SINGLE PILOT,0,0,0,0,0,0,1
1514220,FIRST OFFICER,0,0,0,0,0,0,1
1514266,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1514270,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1515773,CAPTAIN,0,0,0,0,0,0,1
1515746,APPROACH; DEPARTURE,1,0,0,0,0,0,0
1515669,SINGLE PILOT; PILOT FLYING,0,0,0,0,0,0,1
1515660,PILOT NOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1515651,INSTRUCTOR; PILOT FLYING,0,0,0,0,0,0,1
1515636,TECHNICIAN,0,0,0,1,0,0,0
1515632,TECHNICIAN,0,0,0,1,0,0,0
1515604,PILOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1515525,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1515502,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1515808,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1515498,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1515470,APPROACH,1,0,0,0,0,0,0
1515464,OTHER / UNKNOWN,0,0,0,0,0,1,0
1515462,LOCAL,0,0,0,0,0,1,0
1515436,PILOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1515435,SINGLE PILOT,0,0,0,0,0,0,1
1515432,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1515384,CAPTAIN,0,0,0,0,0,0,1
1515381,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1515333,FIRST OFFICER; PILOT NOT FLYING,0,0,0,0,0,0,1
1515328,PILOT NOT FLYING; FIRST OFFICER,0,0,0,0,0,0,1
1515480,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1515814,CAPTAIN; PILOT FLYING,0,0,0,0,0,0,1
1515818,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1515849,CAPTAIN; PILOT NOT FLYING,0,0,0,0,0,0,1
1785180,DISPATCHER,1,0,0,0,0,0,0
1609918,INSTRUCTOR; PILOT NOT FLYING,0,0,0,0,0,0,1
1572568,PILOT FLYING; SINGLE PILOT,0,0,0,0,0,0,1
1539222,INSPECTOR; TECHNICIAN,0,0,0,1,0,0,0
1520747,PILOT FLYING; CAPTAIN,0,0,0,0,0,0,1
1518261,OTHER / UNKNOWN,0,0,0,0,0,1,0
